plotID,block,climatecode,treatmentcode,EFtreatment,climate,exclosure,fertilization,light,litter,plot,subplot,date,doy,lght.ground,rel.light.int
1.1.1.,1,A,EL,E,Ambient,Fenced,Not fertilized,Light,With litter,1,1,26/05/2019,146,70.49,8.580645161
1.2.1.,1,A,E,E,Ambient,Fenced,Not fertilized,No light,With litter,1,2,26/05/2019,146,39.94,4.682846758
1.3.2.,1,A,L,C,Ambient,Grazed,Not fertilized,Light,With litter,2,3,26/05/2019,146,122.67,15.24229622
1.4.1.,1,A,C,C,Ambient,Grazed,Not fertilized,No light,With litter,2,4,26/05/2019,146,276.4,30.92760434
1.5.1.,1,A,EF,EF,Ambient,Fenced,Fertilized,No light,With litter,3,5,26/05/2019,146,13.87,1.660481264
1.6.2.,1,A,EFL,EF,Ambient,Fenced,Fertilized,Light,With litter,3,6,26/05/2019,146,45.31,4.904741286
1.7.2.,1,A,F,F,Ambient,Grazed,Fertilized,No light,With litter,4,7,26/05/2019,146,24.24,2.840735966
1.8.1.,1,A,FL,F,Ambient,Grazed,Fertilized,Light,With litter,4,8,26/05/2019,146,267.3,28.97560976
2.9.1.,2,Fu,EFL,EF,Future,Fenced,Fertilized,Light,With litter,5,9,26/05/2019,146,18.31,2.096164854
2.10.1.,2,Fu,EF,EF,Future,Fenced,Fertilized,No light,With litter,5,10,26/05/2019,146,121.24,13.91483989
2.11.2.,2,Fu,FL,F,Future,Grazed,Fertilized,Light,With litter,6,11,26/05/2019,146,79.8,9.257540603
2.12.2.,2,Fu,F,F,Future,Grazed,Fertilized,No light,With litter,6,12,26/05/2019,146,299.2,32.02054795
2.13.2.,2,Fu,E,E,Future,Fenced,Not fertilized,No light,With litter,7,13,26/05/2019,146,19.68,2.209498148
2.14.2.,2,Fu,EL,E,Future,Fenced,Not fertilized,Light,With litter,7,14,26/05/2019,146,20.61,2.159245678
2.15.1.,2,Fu,L,C,Future,Grazed,Not fertilized,Light,With litter,8,15,26/05/2019,146,147.65,15.93803972
