date,block,plot,treat,lamps,lighted,filename,rfr
7/21/20,1,1,EL,Y,Y,ESPD2020_0721_104401.txt,2.792084
7/21/20,1,1,EL,Y,N,ESPD2020_0721_105844.txt,0.720163
7/21/20,1,2,E,N,N,ESPD2020_0721_104930.txt,1.303025
7/21/20,1,3,L,Y,Y,ESPD2020_0721_105115.txt,2.988771
7/21/20,1,3,L,Y,N,ESPD2020_0721_105932.txt,1.318228
7/21/20,1,4,C,N,N,ESPD2020_0721_105213.txt,1.331009
7/21/20,1,5,EF,N,N,ESPD2020_0721_105324.txt,1.286543
7/21/20,1,6,EFL,Y,Y,ESPD2020_0721_105510.txt,3.433577
7/21/20,1,6,EFL,Y,N,ESPD2020_0721_110050.txt,0.866329
7/21/20,1,7,F,N,N,ESPD2020_0721_105615.txt,1.349742
7/21/20,1,8,FL,Y,Y,ESPD2020_0721_105725.txt,1.530163
7/21/20,1,8,FL,Y,N,ESPD2020_0721_110211.txt,1.332964
7/21/20,2,9,EFL,Y,Y,ESPD2020_0721_111300.txt,3.009309
7/21/20,2,9,EFL,Y,N,ESPD2020_0721_112638.txt,0.825747
7/21/20,2,10,EF,N,N,ESPD2020_0721_111437.txt,0.883239
7/21/20,2,11,FL,Y,Y,ESPD2020_0721_111546.txt,1.470209
7/21/20,2,11,FL,Y,N,ESPD2020_0721_114006.txt,1.266938
7/21/20,2,12,F,N,N,ESPD2020_0721_111641.txt,1.332004
7/21/20,2,13,E,N,N,ESPD2020_0721_112037.txt,1.30987
7/21/20,2,14,EL,Y,Y,ESPD2020_0721_112157.txt,2.13805
7/21/20,2,14,EL,Y,N,ESPD2020_0721_114250.txt,1.295815
7/21/20,2,15,L,Y,Y,ESPD2020_0721_112259.txt,1.521653
7/21/20,2,15,L,Y,N,ESPD2020_0721_114356.txt,1.318497
7/21/20,2,16,C,N,N,ESPD2020_0721_112349.txt,1.327235
7/21/20,3,17,EFL,Y,Y,ESPD2020_0721_115431.txt,1.505746
7/21/20,3,17,EFL,Y,N,ESPD2020_0721_122743.txt,1.288141
7/21/20,3,18,EF,N,N,ESPD2020_0721_115621.txt,1.260298
7/21/20,3,19,FL,Y,Y,ESPD2020_0721_115827.txt,1.451722
7/21/20,3,19,FL,Y,N,ESPD2020_0721_122836.txt,1.288945
7/21/20,3,20,F,N,N,ESPD2020_0721_122743.txt,1.288141
7/21/20,3,21,L,Y,Y,ESPD2020_0721_122238.txt,1.470226
7/21/20,3,21,L,Y,N,ESPD2020_0721_123026.txt,1.312109
7/21/20,3,22,C,N,N,ESPD2020_0721_122324.txt,1.324842
7/21/20,3,23,EF,N,N,ESPD2020_0721_122420.txt,1.256906
7/21/20,3,24,EFL,Y,Y,ESPD2020_0721_122508.txt,1.475573
7/21/20,3,24,EFL,Y,N,ESPD2020_0721_123133.txt,1.243318
7/21/20,4,25,EFL,Y,Y,ESPD2020_0721_123916.txt,1.579728
7/21/20,4,25,EFL,Y,N,ESPD2020_0721_131330.txt,1.301748
7/21/20,4,26,EF,N,N,ESPD2020_0721_124047.txt,1.304148
7/21/20,4,27,FL,Y,Y,ESPD2020_0721_124139.txt,1.537205
7/21/20,4,27,FL,Y,N,ESPD2020_0721_131434.txt,1.329443
7/21/20,4,28,F,N,N,ESPD2020_0721_124247.txt,1.328602
7/21/20,4,29,C,N,N,ESPD2020_0721_124354.txt,1.331314
7/21/20,4,30,L,Y,Y,ESPD2020_0721_124450.txt,1.541324
7/21/20,4,30,L,Y,N,ESPD2020_0721_131557.txt,1.325528
7/21/20,4,31,EF,N,N,ESPD2020_0721_124548.txt,0.990543
7/21/20,4,32,EFL,Y,Y,ESPD2020_0721_124657.txt,1.967662
7/21/20,4,32,EFL,Y,N,ESPD2020_0721_131646.txt,1.325541
7/21/20,5,33,F,N,N,ESPD2020_0721_132621.txt,1.331815
7/21/20,5,34,FL,Y,Y,ESPD2020_0721_132735.txt,1.532644
7/21/20,5,34,FL,Y,N,ESPD2020_0721_134921.txt,1.298349
7/21/20,5,35,EF,N,N,ESPD2020_0721_133402.txt,0.900191
7/21/20,5,36,EFL,Y,Y,ESPD2020_0721_134204.txt,1.770351
7/21/20,5,36,EFL,Y,N,ESPD2020_0721_135007.txt,1.178863
7/21/20,5,37,L,Y,Y,ESPD2020_0721_134313.txt,2.065648
7/21/20,5,37,L,Y,N,ESPD2020_0729_135142.txt,1.2518
7/21/20,5,38,C,N,N,ESPD2020_0721_134407.txt,1.284431
7/21/20,5,39,E,N,N,ESPD2020_0721_134504.txt,1.044782
7/21/20,5,40,EL,Y,Y,ESPD2020_0721_134708.txt,1.465313
7/21/20,5,40,EL,Y,N,ESPD2020_0721_134826.txt,1.272325
7/21/20,6,41,EF,N,N,ESPD2020_0723_125937.txt,1.315912
7/21/20,6,42,EFL,Y,N,ESPD2020_0729_100128.txt,1.190286
7/21/20,6,42,EFL,Y,Y,ESPD2020_0723_130053.txt,1.640414
7/21/20,6,43,FL,Y,N,ESPD2020_0729_100213.txt,1.31953
7/21/20,6,43,FL,Y,Y,ESPD2020_0723_130200.txt,1.495557
7/21/20,6,44,F,N,N,ESPD2020_0723_130250.txt,1.335168
7/21/20,6,45,L,Y,N,ESPD2020_0729_100311.txt,1.288485
7/21/20,6,45,L,Y,Y,ESPD2020_0723_130338.txt,2.032947
7/21/20,6,46,C,N,N,ESPD2020_0723_131618.txt,1.342678
7/21/20,6,47,EL,Y,Y,ESPD2020_0729_095843.txt,1.405948
7/21/20,6,47,EL,Y,N,ESPD2020_0729_100408.txt,1.23189
7/21/20,6,48,E,N,N,ESPD2020_0729_095958.txt,1.228629
7/21/20,7,49,FL,Y,Y,ESPD2020_0729_101038.txt,1.618389
7/21/20,7,49,FL,Y,N,ESPD2020_0729_102059.txt,1.297192
7/21/20,7,50,F,N,N,ESPD2020_0729_101115.txt,1.299159
7/21/20,7,51,EFL,Y,Y,ESPD2020_0729_101226.txt,1.705254
7/21/20,7,51,EFL,Y,N,ESPD2020_0729_102147.txt,1.059121
7/21/20,7,52,EF,N,N,ESPD2020_0729_101542.txt,1.247696
7/21/20,7,53,C,N,N,ESPD2020_0729_101632.txt,1.303897
7/21/20,7,54,L,Y,Y,ESPD2020_0729_101717.txt,2.677252
7/21/20,7,54,L,Y,N,ESPD2020_0729_102245.txt,1.260854
7/21/20,7,55,E,N,N,ESPD2020_0729_101808.txt,1.13686
7/21/20,7,56,EL,Y,Y,ESPD2020_0729_101909.txt,2.677057
7/21/20,7,56,EL,Y,N,ESPD2020_0729_102326.txt,1.284989
7/21/20,8,57,FL,Y,Y,ESPD2020_0729_103139.txt,1.545018
7/21/20,8,57,FL,Y,N,ESPD2020_0729_130917.txt,1.328095
7/21/20,8,58,F,N,N,ESPD2020_0729_103358.txt,1.323714
7/21/20,8,59,C,N,N,ESPD2020_0729_103437.txt,1.33117
7/21/20,8,60,L,Y,Y,ESPD2020_0729_103520.txt,1.515396
7/21/20,8,60,L,Y,N,ESPD2020_0729_131007.txt,1.336407
7/21/20,8,61,EFL,Y,Y,ESPD2020_0729_130435.txt,1.532172
7/21/20,8,61,EFL,Y,N,ESPD2020_0729_131055.txt,1.312699
7/21/20,8,62,EF,N,N,ESPD2020_0729_130612.txt,1.317702
7/21/20,8,63,EL,Y,Y,ESPD2020_0729_130715.txt,1.589699
7/21/20,8,63,EL,Y,N,ESPD2020_0729_131141.txt,1.321969
7/21/20,8,64,E,N,N,ESPD2020_0729_130814.txt,1.297446
7/21/20,9,65,EF,N,N,ESPD2020_0729_131713.txt,1.042588
7/21/20,9,66,EFL,Y,Y,ESPD2020_0729_131809.txt,1.345847
7/21/20,9,66,EFL,Y,N,ESPD2020_0729_132505.txt,1.3096
7/21/20,9,67,F,N,N,ESPD2020_0729_131903.txt,1.266796
7/21/20,9,68,FL,Y,Y,ESPD2020_0729_131948.txt,1.527502
7/21/20,9,68,FL,Y,N,ESPD2020_0729_132554.txt,1.332594
7/21/20,9,69,C,N,N,ESPD2020_0729_132036.txt,1.346928
7/21/20,9,70,L,Y,Y,ESPD2020_0729_132112.txt,1.486905
7/21/20,9,70,L,Y,N,ESPD2020_0729_132632.txt,1.330461
7/21/20,9,71,EL,Y,Y,ESPD2020_0729_132215.txt,1.496047
7/21/20,9,71,EL,Y,N,ESPD2020_0729_132719.txt,1.260862
7/21/20,9,72,E,N,N,ESPD2020_0729_132300.txt,0.915094
