block,plot,treat,depth_1,depth_2,depth_3,depth_avg
1,1,EL,4,6,6,5.333
1,2,E,5,2,3,3.333
1,3,L,2,4,4,3.333
1,4,C,4,2,2,2.667
1,5,EF,10,6,6,7.333
1,6,EFL,3,6,4,4.333
1,7,F,3,3,1,2.333
1,8,FL,3,4,5,4.000
2,9,EFL,8,5,4,5.667
2,10,EF,6,1,4,3.667
2,11,FL,2,5,2,3.000
2,12,F,4,2,0,2.000
2,13,E,3,7,3,4.333
2,14,EL,1,1,2,1.333
2,15,L,1,1,2,1.333
2,16,C,0,1,3,1.333
3,17,EFL,2,5,5,4.000
3,18,EF,13,8,5,8.667
3,19,FL,1,2,1,1.333
3,20,F,1,1,0,0.667
3,21,L,1,0,0,0.333
3,22,C,0,1,2,1.000
3,23,E,5,5,3,4.333
3,24,EL,8,2,16,8.667
4,25,EL,8,5,5,6.000
4,26,E,9,1,6,5.333
4,27,EL,2,2,1,1.667
4,28,F,2,1,3,2.000
4,29,C,1,1,2,1.333
4,30,L,1,2,1,1.333
4,31,EF,4,5,6,5.000
4,32,EFL,3,5,6,4.667
5,33,F,4,5,1,3.333
5,34,FL,3,2,3,2.667
5,35,EF,9,4,9,7.333
5,36,EFL,4,14,5,7.667
5,37,L,1,2,2,1.667
5,38,C,3,2,1,2.000
5,39,E,1,3,2,2.000
5,40,EL,3,1,2,2.000
6,41,E,3,5,3,3.667
6,42,EFL,15,4,2,7.000
6,43,FL,1,1,3,1.667
6,44,F,1,1,2,1.333
6,45,L,2,4,1,2.333
6,46,C,0,1,1,0.667
6,47,EL,6,4,5,5.000
6,48,E,6,6,2,4.667
7,49,FL,1,2,1,1.333
7,50,F,1,1,0,0.667
7,51,EFL,6,9,3,6.000
7,52,EF,2,5,12,6.333
7,53,C,2,1,2,1.667
7,54,L,1,0,0,0.333
7,55,E,7,5,5,5.667
7,56,EL,3,13,5,7.000
8,57,FL,3,5,1,3.000
8,58,F,3,1,3,2.333
8,59,C,1,0,0,0.333
8,60,L,1,3,1,1.667
8,61,EFL,2,1,5,2.667
8,62,EF,9,4,3,5.333
8,63,EL,2,4,4,3.333
8,64,E,5,5,8,6.000
9,65,EF,6,5,9,6.667
9,66,EFL,3,2,4,3.000
9,67,F,3,4,3,3.333
9,68,FL,1,1,2,1.333
9,69,C,3,2,3,2.667
9,70,L,1,3,2,2.000
9,71,EL,4,4,2,3.333
9,72,E,4,5,1,3.333
10,73,C,0,1,2,1.000
10,74,L,1,2,1,1.333
10,75,E,2,2,3,2.333
10,76,EL,5,4,2,3.667
10,77,F,1,2,1,1.333
10,78,FL,1,1,1,1.000
10,79,EFL,1,2,2,1.667
10,80,EF,2,2,3,2.333
