plot.id,treat,block,climate,subplot,cotyledon,achmil,cenjac,cerhol,crebie,crecap,cirsp,diacar,daucar,falvul,galalb,gersp,hyprad,knaarv,lamamp,leuvul,lotcor,lycsp,medfal,pimsax,plalan,plamed,pruvul,scaoch,secvar,sillat,silvul,stemed,tripra,vercha,viccra,grass
1,EL,1,ambient,1,7,,1,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,
1,EL,1,ambient,2,1,1,,,,3,,,,,1,,,,,,,1,,,,,,,,,,,,,,
2,E,1,ambient,1,2,1,,,2,2,,,,,8,,,,,,,,,,,,,1,2,,,,,,,1
2,E,1,ambient,2,1,,,,,1,,,,,3,,,,,1,,,,,,,,,,,1,,,,,
3,L,1,ambient,1,2,,,,3,,,,2,,1,,,,,,,,,,,,,,,,,,,,2,1
3,L,1,ambient,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,1
4,C,1,ambient,1,5,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,
4,C,1,ambient,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
5,EF,1,ambient,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5,EF,1,ambient,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EFL,1,ambient,1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
6,EFL,1,ambient,2,4,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
7,F,1,ambient,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
7,F,1,ambient,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,FL,1,ambient,1,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,
8,FL,1,ambient,2,3,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
9,EFL,2,future,1,2,,,,,,,,,,9,,,,,,,,,,,,,,,,,1,,,,
9,EFL,2,future,2,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
10,EF,2,future,1,2,,1,,,,,,1,,20,,,,,,,,,,,,,,,,,,,,,
10,EF,2,future,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FL,2,future,1,8,,1,,2,,,,,,,,,,,,,,,,,,,,,7,,1,,,,
11,FL,2,future,2,8,2,2,,4,,,2,,,1,,1,4,,,,,,,,1,,2,,5,,5,,1,,
12,F,2,future,1,5,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
12,F,2,future,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,E,2,future,1,2,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
13,E,2,future,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EL,2,future,1,8,,1,,1,,,,,,3,,,,,,,,1,,,,,5,,,,,,,,
14,EL,2,future,2,10,,,,2,,,,,,8,,1,2,,,1,,,,,,,,,,,,,,,
15,L,2,future,1,2,3,1,,2,,,1,,,,,,5,,,,,,,,,,,,,,,,,,
15,L,2,future,2,6,1,1,,1,,,,,1,,,,6,,,,,,,,,,2,,,,,,,,
16,C,2,future,1,10,1,,,2,,,,,,2,,,2,,,,,,1,,,,,,,,,1,,,1
16,C,2,future,2,3,1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,2
17,EFL,3,ambient,1,4,2,1,1,1,,,,,,2,,,2,,,,,,,,,,,,1,,,,,,
17,EFL,3,ambient,2,,1,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,
18,EF,3,ambient,1,5,,8,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1
18,EF,3,ambient,2,2,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FL,3,ambient,1,,2,4,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,,,
19,FL,3,ambient,2,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
20,F,3,ambient,1,3,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,1,,,,
20,F,3,ambient,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L,3,ambient,1,2,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
21,L,3,ambient,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,3,ambient,1,3,1,1,1,1,1,,,2,,,,,,,2,,,,,,,,,,,,2,,,,
22,C,3,ambient,2,1,,,,1,3,,,,,,,,,,3,,,,,,,,6,,,,,,,,
23,EF,3,ambient,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
23,EF,3,ambient,2,5,,4,,2,,,,,,10,1,,,,,,,,,,,,,,,,,,,,
24,EFL,3,ambient,1,1,1,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,
24,EFL,3,ambient,2,3,,,,,1,,,,,16,,,,,,,,,,,,,,,,,,,,,
25,EFL,4,future,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,
25,EFL,4,future,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
26,EF,4,future,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EF,4,future,2,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
27,FL,4,future,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FL,4,future,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,4,future,1,1,,4,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,
28,F,4,future,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,C,4,future,1,,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,1,,,
29,C,4,future,2,,1,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,
30,L,4,future,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L,4,future,2,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,1,,
31,EF,4,future,1,,,,,,4,,1,,,3,,,,,,,,,,,,,,,,,1,,,,
31,EF,4,future,2,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
32,EFL,4,future,1,9,1,,,1,1,,,,,,,,,,,,,2,,,,,2,,,,,,,,
32,EFL,4,future,2,6,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,
33,F,5,ambient,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,
33,F,5,ambient,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
34,FL,5,ambient,1,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
34,FL,5,ambient,2,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
35,EF,5,ambient,1,2,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,
35,EF,5,ambient,2,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,
36,EFL,5,ambient,1,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
36,EFL,5,ambient,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
37,L,5,ambient,1,3,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,
37,L,5,ambient,2,,,,,,,,2,,,2,,,,,,,,2,,1,,,2,,,,2,,,,
38,C,5,ambient,1,4,,,,,,,,,,6,,,,,,,1,,,,,,,,1,,,,,,
38,C,5,ambient,2,4,,,,,1,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,
39,E,5,ambient,1,2,3,,,2,2,,,,,10,,,,,1,,,,,,,,,,,,,,,,
