date,plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling,,
04/05/2020,1,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,1,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
04/05/2020,2,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
04/05/2020,2,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,3,L,ambient,O,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,3,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
04/05/2020,4,C,ambient,O,,,,,,,,1,2,1,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,
04/05/2020,4,C,ambient,I,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
04/05/2020,5,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,5,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
04/05/2020,6,EFL,ambient,O,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,
04/05/2020,6,EFL,ambient,I,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,7,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,7,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
04/05/2020,8,FL,ambient,O,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,one lamp only half working --> replaced with a LiCoDiv lamp
04/05/2020,8,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
05/05/2020,9,EFL,future,O,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/05/2020,9,EFL,future,I,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
05/05/2020,10,EF,future,O,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,
05/05/2020,10,EF,future,I,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
05/05/2020,11,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
05/05/2020,11,FL,future,I,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,
