date,plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling (probably chenopodium sp.)
08/06/2020,1,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
08/06/2020,1,EL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,2,E,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,2,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,3,L,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,3,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,4,C,ambient,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
08/06/2020,4,C,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,5,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,5,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,6,EFL,ambient,O,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,6,EFL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,7,AF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,7,AF,ambient,I,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,8,AFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,8,AFL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
08/06/2020,9,EFL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,9,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,10,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,10,EF,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
08/06/2020,11,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,11,FL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,12,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,12,F,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,13,E,future,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,
08/06/2020,13,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,14,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,
08/06/2020,14,EL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
08/06/2020,15,L,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
08/06/2020,15,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
08/06/2020,16,C,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
08/06/2020,16,C,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,17,EFL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
08/06/2020,17,EFL,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,18,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,18,EF,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,19,FL,ambient,O,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,19,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
08/06/2020,20,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
08/06/2020,20,F,ambient,I,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
08/06/2020,21,L,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,21,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
08/06/2020,22,C,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
