"sample	c.perc	n.perc"
"achmil	33.834	5.932"
"agreup	41.619	2.866"
"arrela	41.032	4.222"
"broere	39.944	4.096"
"cenjac	36.885	2.698"
"clevit	41.087	1.807"
"crebie	38.606	3.82"
"crecap	37.786	4.883"
"daucar	40.013	3.065"
"diacar	39.117	2.642"
"falvul	38.757	2.695"
"galalb	39.077	3.07"
"hyprad	36.25	3.164"
"knaarv	39.638	4.538"
"latpra	42.149	2.974"
"leuvul	36.755	4.349"
"lotcor	40.872	2.627"
"medfal	39.813	4.039"
"medlup	41.086	3.865"
"pichie	38.098	4.642"
"pimsax	39.633	3.532"
"plalan	39.685	2.666"
"plamed	36.817	3.482"
"pruvul	35.981	3.602"
"ranacr	39.058	3.638"
"scaoch	39.636	3.968"
"sillat	35.368	3.559"
"silvul	37.985	4.002"
"starec	37.403	4.389"
"trapra	41.1	3.341"
"tripra	40.5	3.415"
"trirep	39.498	3.518"
"vercha	40.66	4.404"
"viccra	41.515	3.352"
"cyncri	40.883	2.651"
"dacglo	40.824	2.851"
"fesrup	41.835	4.912"
"lolmul	39.714	3.158"
"lolper	38.061	5.41"
secvar43.157 3.959
cerhol 38.886 5.106
lampur 43.663 4.041
lycflc 39.644 4.859
