group,species,replicate,lenght (cm),avgdiam(mm),rootvolume(cm^3)
forb,ACHIMIL,1,23.4128,0.2062,0.008
forb,ACHIMIL,2,51.3222,0.2088,0.018
forb,ACHIMIL,3,34.8511,0.2266,0.014
forb,ACHIMIL,4,40.1433,0.3601,0.041
forb,ACHIMIL,5,45.1644,0.2139,0.016
forb,ACHIMIL,6,63.7349,0.2295,0.026
forb,ACHIMIL,7,97.2158,0.2260,0.039
forb,ACHIMIL,8,95.5610,0.2252,0.038
forb,ACHIMIL,9,43.3852,0.1917,0.013
forb,ACHIMIL,10,64.3260,0.2061,0.021
forb,ACHIMIL,11,53.4891,0.2292,0.022
forb,ACHIMIL,12,71.9116,0.1758,0.017
forb,ACHIMIL,13,43.0640,0.1978,0.013
forb,ACHIMIL,14,35.5398,0.2174,0.013
forb,ACHIMIL,15,90.3393,0.2033,0.029
forb,AGREUP,1,37.3295,0.2870,0.024
forb,AGREUP,2,34.2560,0.3668,0.036
forb,AGREUP,3,99.8356,0.3642,0.104
forb,AGREUP,4,57.4015,0.3888,0.068
forb,AGREUP,5,118.177,0.3763,0.131
forb,AGREUP,2_1,114.3813,0.3803,0.130
forb,AGREUP,2_2,77.5136,0.3662,0.082
forb,AGREUP,2_3,56.1006,0.3515,0.054
forb,AGREUP,2_4,62.687,0.3507,0.061
forb,AGREUP,2_5,53.7605,0.4939,0.103
forb,AGREUP,2_6,38.238,0.3690,0.041
forb,AGREUP,2_7,28.9239,0.3869,0.034
forb,AGREUP,2_8,16.7373,0.4277,0.024
forb,AGREUP,2_9,51.7473,0.2947,0.035
forb,AGREUP,2_10,64.0145,0.3418,0.059
grass,ARRELA,1,80.2173,0.2585,0.042
grass,ARRELA,2,64.0037,0.2924,0.043
grass,ARRELA,3,93.2255,0.2767,0.056
grass,ARRELA,4,75.0962,0.3038,0.054
grass,ARRELA,5,103.7831,0.3324,0.090
grass,ARRELA,6,100.4678,0.2931,0.068
grass,ARRELA,7,76.04,0.2869,0.049
grass,ARRELA,8,107.3648,0.2598,0.057
grass,ARRELA,9,80.1048,0.2498,0.039
grass,ARRELA,10,143.0394,0.2419,0.066
grass,BROERE,1,94.0292,0.2968,0.065
grass,BROERE,2,133.0092,0.2888,0.087
grass,BROERE,3,120.8053,0.3427,0.111
grass,BROERE,4,82.2487,0.3076,0.061
grass,BROERE,5,81.3495,0.2888,0.053
grass,BROERE,6,77.7592,0.3348,0.068
grass,BROERE,7,135.4526,0.3280,0.114
grass,BROERE,8,87.207,0.2925,0.059
grass,BROERE,9,89.8303,0.2819,0.056
