"","species","abundance","abundance.se","bm.tot","rt.sh.bm","len.sh","sla","c.n"
"1","galalb",5.7375,2.01253783673843,8.601,0.399304225442489,4.43,58.8141777839246,12.728664495114
"2","cotyledon",4.5875,0.982565583858034,NA,NA,NA,NA,NA
"3","sillat",1.9,0.736567475231985,18.558,0.371607644615898,3.56,32.275369653681,9.93762292778871
"4","secvar",1.8375,0.735573271655981,22.43375,0.339144231794616,3.0875,28.6970184442458,NA
"5","silvul",1.7625,0.676217841838156,22.617,0.438069662673668,3.01,31.3585649702259,9.49150424787606
"6","cerhol",1.3625,0.993805975256587,NA,NA,NA,NA,NA
"7","stemed",1.25,1.04184597612828,NA,NA,NA,NA,NA
"8","scaoch",1.2125,0.451009767218607,12.266,0.310882337576657,1.76,21.7437498897186,9.98891129032258
"9","diacar",1.05,0.727315159866857,16.094,0.482743150719287,3.23,39.398422352096,14.8058289174868
"10","crecap",1.025,0.320156211871642,12.274,0.673314161671605,2.74,53.7762062226159,7.73827565021503
"11","medfal",1,0.416434534493703,8.112,0.225940695667734,4.06,28.178324708593,9.85714285714286
"12","crebie",0.9,0.274668960704852,15.922,0.355753071376058,2.67,46.1206058513002,10.1062827225131
"13","cenjac",0.8625,0.433916153015881,25.554,0.398580839958528,4.39,22.8231560977261,13.67123795404
"14","achmil",0.8125,0.320390880731172,9.979,0.242045263616186,2.76,51.2827185524054,5.70364126770061
"15","daucar",0.4875,0.191574918418588,10.325,0.424178842266364,6.76,36.6738706730405,13.0548123980424
"16","vercha",0.475,0.261386275098993,5.146,0.298398953504572,1.51,49.1453808744156,9.23251589464124
"17","leuvul",0.4625,0.261310596509405,9.975,0.396602789357812,2.29,41.2925621447376,8.45136813060474
"18","knaarv",0.45,0.32000791129461,24.556,0.418133347444633,2.74,36.5293886027867,8.73468488320846
"19","lamamp",0.3625,0.336105299202346,NA,NA,NA,NA,NA
"20","grass",0.2625,0.154033326987327,NA,NA,NA,NA,NA
"21","falvul",0.175,0.116787158995881,NA,NA,NA,NA,NA
"22","lycsp",0.175,0.14130942795999,NA,NA,NA,NA,NA
"23","plamed",0.1375,0.0990061371323688,8.624,0.480920728986737,2.15,25.9413151564832,10.5735209649627
"24","ranacr",0.1375,0.121924182708411,16.001,0.829302069653088,2.6,35.4786333151982,10.736118746564
"25","tripra",0.125,0.0898310650786495,24.359,0.76912197745089,5.27,35.6520072809098,11.8594436310395
"26","plalan",0.1,0.0914025731571428,40.041,0.665173956674859,7.36,19.564923980731,14.8855963990998
"27","falcon",0.0875,0.0885448466790571,NA,NA,NA,NA,NA
"28","galver",0.0875,0.0810824709083757,NA,NA,NA,NA,NA
"29","pruvul",0.0875,0.0728597577802553,7.668,0.140211690005693,1.44,26.3305786694082,9.98917268184342
"30","chesp",0.075,0.0691265579401884,NA,NA,NA,NA,NA
"31","cirsp",0.075,0.0592676828284024,NA,NA,NA,NA,NA
"32","hyprad",0.0625,0.0544680837913244,25.023,0.63937162176963,2.56,41.5593813958942,11.4570164348925
"33","agreup",0.0375,0.0427496391279461,34.674,0.383622975569324,3.12,27.4659358475027,14.5216329378925
"34","gersp",0.0375,0.0427496391279461,NA,NA,NA,NA,NA
"35","pichie",0.0375,0.0427496391279461,20.306,0.458429068960228,2.99,33.9355873308852,8.20723825937096
"36","lotcor",0.025,0.0351308584465264,10.655,0.596165302073213,4.44,39.605489194139,15.5584316711077
"37","pimsax",0.025,0.0351308584465264,10.509,0.249272642982366,3.27,22.1540795333568,11.2211211778029
"38","viccra",0.025,0.05,NA,NA,NA,NA,NA
"39","latpra",NA,NA,16.638,0.530222792734724,11.48,48.8543257077531,14.1724949562878
"40","medlup",NA,NA,24.89,0.449174172466206,5.22,27.1273584808814,10.6302716688228
"41","starec",NA,NA,13.92,0.34647980420285,2.13,50.8191768045732,8.52198678514468
"42","trapra",NA,NA,68.37,0.63353619484263,17.23,28.6531558880488,12.3017060760251
"43","trirep",NA,NA,8.264,0.59408720241062,3.93,42.6039802322256,11.2274019329164
