date,block,plot,species,Id(1-6),number,comments
26/05/2020,1A,1EL,plantago lan,1,1,
26/05/2020,1A,1EL,plantago lan,4,1,
26/05/2020,1A,1EL,daucus car,3,1,
26/05/2020,1A,2E,plantago lan,2,2,
26/05/2020,1A,2E,plantago lan,3,1,
26/05/2020,1A,2E,plantago lan,4,1,
26/05/2020,1A,2E,plantago lan,5,1,
26/05/2020,1A,2E,plantago lan,6,1,
26/05/2020,1A,3L,plantago lan,4,1,
26/05/2020,1A,3L,daucus car,3,1,
26/05/2020,1A,4C,plantago lan,2,2,
26/05/2020,1A,4C,plantago lan,5,1,
26/05/2020,1A,4C,galium alb,3,2,
26/05/2020,1A,5EF,plantago lan,2,2,
26/05/2020,1A,5EF,plantago lan,3,1,
26/05/2020,1A,5EF,plantago lan,4,1,
26/05/2020,1A,5EF,plantago lan,5,1,
26/05/2020,2Fu,9EFL,plantago lan,1,1,
26/05/2020,2Fu,9EFL,plantago lan,2,1,
26/05/2020,2Fu,9EFL,plantago lan,3,1,
26/05/2020,2Fu,10EF,plantago lan,3,1,almost dead
26/05/2020,2Fu,11FL,plantago lan,3,1,
26/05/2020,2Fu,14EL,plantago lan,1,1,
26/05/2020,2Fu,14EL,plantago lan,2,1,
26/05/2020,2Fu,14EL,plantago lan,3,1,
26/05/2020,2Fu,14EL,plantago lan,6,2,
26/05/2020,2Fu,15L,plantago lan,2,1,
26/05/2020,2Fu,15L,plantago lan,4,1,
26/05/2020,2Fu,16C,dianthus car,2,2,
26/05/2020,3A,17EFL,plantago lan,5,1,
26/05/2020,3A,18EF,plantago lan,4,1,
26/05/2020,3A,18EF,plantago lan,5,1,
26/05/2020,3A,18EF,plantago lan,6,1,
26/05/2020,3A,20F,plantago lan,1,2,
26/05/2020,3A,20F,plantago lan,2,2,
26/05/2020,3A,20F,plantago lan,3,2,
26/05/2020,3A,20F,plantago lan,4,1,
26/05/2020,3A,20F,plantago lan,5,1,
26/05/2020,3A,21L,plantago lan,2,1,
26/05/2020,3A,21L,plantago lan,3,1,
26/05/2020,3A,21L,plantago lan,4,1,
26/05/2020,3A,21L,dianthus car,2,1,"wilting, looks almost dead"
26/05/2020,3A,21L,crebis bie,1,1,"wilting, looks almost dead"
26/05/2020,3A,22C,plantago lan,4,1,
26/05/2020,3A,22C,plantago lan,6,2,
