"","species","abundance","abundance.se","bm.tot","rt.sh.bm","len.sh","sla","c.n"
"1","galalb",5.69047619047619,1.981534086995,8.601,0.399304225442489,4.43,58.8141777839246,12.728664495114
"2","cotyledon",4.26190476190476,0.995846221023388,NA,NA,NA,NA,NA
"3","sillat",2.01190476190476,0.812176940496067,18.558,0.371607644615898,3.56,32.275369653681,9.93762292778871
"4","secvar",1.75,0.723008273711596,22.43375,0.339144231794616,3.0875,28.6970184442458,NA
"5","silvul",1.67857142857143,0.665103229858591,22.617,0.438069662673668,3.01,31.3585649702259,9.49150424787606
"6","cerhol",1.29761904761905,0.971757668428871,27.531,0.332769947022066,3.14,42.2387800156843,NA
"7","stemed",1.19047619047619,1.01819364650274,NA,NA,NA,NA,NA
"8","scaoch",1.1547619047619,0.443825168578701,12.266,0.310882337576657,1.76,21.7437498897186,9.98891129032258
"9","cotyledonorunk",1.0952380952381,0.330423327633864,NA,NA,NA,NA,NA
"10","diacar",1,0.711353706945808,16.094,0.482743150719287,3.23,39.398422352096,14.8058289174868
"11","crecap",0.976190476190476,0.316182405941152,12.274,0.673314161671605,2.74,53.7762062226159,7.73827565021503
"12","crebie",0.869047619047619,0.2706078875438,15.922,0.355753071376058,2.67,46.1206058513002,10.1062827225131
"13","cenjac",0.821428571428571,0.425342830239091,25.554,0.398580839958528,4.39,22.8231560977261,13.67123795404
"14","medfal",0.797619047619048,0.401472833489183,8.112,0.225940695667734,4.06,28.178324708593,9.85714285714286
"15","achmil",0.773809523809524,0.314989367723012,9.979,0.242045263616186,2.76,51.2827185524054,5.70364126770061
"16","daucar",0.476190476190476,0.188450212261579,10.325,0.424178842266364,6.76,36.6738706730405,13.0548123980424
"17","versp",0.452380952380952,0.256023252673174,NA,NA,NA,NA,NA
"18","leuvul",0.44047619047619,0.255897170792306,9.975,0.396602789357812,2.29,41.2925621447376,8.45136813060474
"19","knaarv",0.428571428571429,0.312945035948738,24.556,0.418133347444633,2.74,36.5293886027867,8.73468488320846
"20","medsp",0.392857142857143,0.211186713320134,NA,NA,NA,NA,NA
"21","lamsp",0.345238095238095,0.32836588397379,NA,NA,NA,NA,NA
"22","grass",0.25,0.150801073787363,NA,NA,NA,NA,NA
"23","falvul",0.166666666666667,0.11424626398855,NA,NA,NA,NA,NA
"24","lycsp",0.166666666666667,0.138116998305363,NA,NA,NA,NA,NA
"25","plamed",0.130952380952381,0.0968153247898852,8.624,0.480920728986737,2.15,25.9413151564832,10.5735209649627
"26","ranarc",0.130952380952381,0.119132213202831,NA,NA,NA,NA,NA
"27","trisp",0.119047619047619,0.0878440698519079,NA,NA,NA,NA,NA
"28","plalan",0.0952380952380952,0.0893014902872693,40.041,0.665173956674859,7.36,19.564923980731,14.8855963990998
"29","fallconv",0.0833333333333333,0.0864865288858031,NA,NA,NA,NA,NA
"30","galver",0.0833333333333333,0.0792155313155597,NA,NA,NA,NA,NA
"31","pruvul",0.0833333333333333,0.0712059065281666,7.668,0.140211690005693,1.44,26.3305786694082,9.98917268184342
"32","cirsp",0.0714285714285714,0.057933429658056,NA,NA,NA,NA,NA
"33","hyprad",0.0595238095238095,0.0532236752758398,25.023,0.63937162176963,2.56,41.5593813958942,11.4570164348925
"34","triangleseedling",0.0476190476190476,0.0591583733571787,NA,NA,NA,NA,NA
"35","agreup",0.0357142857142857,0.0417454791063362,34.674,0.383622975569324,3.12,27.4659358475027,14.5216329378925
"36","gersp",0.0357142857142857,0.0417454791063362,NA,NA,NA,NA,NA
"37","pichic",0.0357142857142857,0.0417454791063362,NA,NA,NA,NA,NA
"38","lotcor",0.0238095238095238,0.0342947970375092,10.655,0.596165302073213,4.44,39.605489194139,15.5584316711077
"39","pimsax",0.0238095238095238,0.0342947970375092,10.509,0.249272642982366,3.27,22.1540795333568,11.2211211778029
"40","triangleseedlingprobablychenopodiumsp",0.0238095238095238,0.0342947970375092,NA,NA,NA,NA,NA
"41","viccra",0.0238095238095238,0.0487950036474267,NA,NA,NA,NA,NA
"42","larnsp",0,0,NA,NA,NA,NA,NA
"43","lampur",NA,NA,155.321,0.346678938560722,4.7,41.3656459279571,NA
"44","latpra",NA,NA,16.638,0.530222792734724,11.48,48.8543257077531,14.1724949562878
"45","lychflc",NA,NA,32.776,0.251520336018944,2.25,37.9017406765207,NA
"46","medlup",NA,NA,24.89,0.449174172466206,5.22,27.1273584808814,10.6302716688228
"47","pichie",NA,NA,20.306,0.458429068960228,2.99,33.9355873308852,8.20723825937096
"48","ranacr",NA,NA,16.001,0.829302069653088,2.6,35.4786333151982,10.736118746564
"49","starec",NA,NA,13.92,0.34647980420285,2.13,50.8191768045732,8.52198678514468
"50","trapra",NA,NA,68.37,0.63353619484263,17.23,28.6531558880488,12.3017060760251
"51","tripra",NA,NA,24.359,0.76912197745089,5.27,35.6520072809098,11.8594436310395
"52","trirep",NA,NA,8.264,0.59408720241062,3.93,42.6039802322256,11.2274019329164
"53","vercha",NA,NA,5.146,0.298398953504572,1.51,49.1453808744156,9.23251589464124
